"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[nu]"    
          0,           0,           0,      -4.314090191,       -15.0526376,      -15.81170382,      -9.278435013
          0,           0,           1,      -4.689296357,      -4.147918906,      -4.192453533,      -9.620378641
          0,           0,           2,      -4.850603801,      -4.577972824,      -4.339226987,      -10.10779979
          0,           0,           3,       -5.14886327,      -4.687967789,      -4.328675428,      -10.58529931
          0,           0,           4,      -5.228922721,      -4.826764786,       -4.48985326,      -10.87423442
          0,           0,           5,      -5.291594751,      -4.882937901,      -4.496589712,      -11.03392053
          0,           0,           6,      -5.321112463,      -4.925959179,      -4.503829905,      -11.12716271
          0,           0,           7,      -5.322651173,      -4.953092848,      -4.514189886,      -11.18745673
          0,           0,           8,      -5.311210666,      -4.959356766,      -4.519173226,      -11.23049272
          0,           0,           9,      -5.292531216,      -4.944915844,       -4.51681796,      -11.26344788
          0,           0,          10,      -5.270115301,      -4.912311526,      -4.507181594,      -11.28794962
          0,           0,          11,      -5.246083877,      -4.867628081,      -4.492615609,      -11.30616497
          0,           0,          12,      -5.222228603,      -4.817770988,      -4.476119805,       -11.3197541
          0,           0,          13,      -5.200098829,      -4.767736615,      -4.460043033,      -11.32945119
          0,           0,          14,       -5.18047102,      -4.720722914,      -4.445864352,      -11.33664085
          0,           0,          15,      -5.163442831,      -4.678268949,      -4.434214041,      -11.34177635
          0,           0,          16,      -5.148704654,      -4.640687064,      -4.425042089,      -11.34511479
          0,           0,          17,      -5.135730695,      -4.607647528,      -4.417905632,      -11.34690246
          0,           0,          18,      -5.123773563,      -4.578795965,      -4.412315256,      -11.34696818
          0,           0,          19,      -5.112261886,      -4.553524431,      -4.407754357,      -11.34508313
          0,           0,          20,      -5.100743039,      -4.531379874,      -4.403833397,      -11.34154584
          0,           0,          21,      -5.088968013,      -4.511945744,       -4.40028532,      -11.33645222
          0,           0,          22,      -5.076891172,       -4.49483009,      -4.396940686,      -11.32967818
          0,           0,          23,      -5.064549311,       -4.47970951,      -4.393726619,      -11.32141859
