"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,           0,      -2.259227052,    -0.06632144195,      0.2419931531,       3.236985248,      -1.790824951,       1.969595661
          0,           0,           1,        -2.3520337,     -0.1632237124,      0.0415933522,       3.142492535,       -1.89166001,       1.868779067
          0,           0,           2,      -2.501765732,     -0.2046018174,     -0.1349870249,       2.992001467,      -1.993949874,       1.766498087
          0,           0,           3,      -2.564779644,     -0.2866996367,     -0.2140332339,       2.932561251,       -2.00585203,       1.754668063
          0,           0,           4,      -2.588968122,     -0.4152648045,     -0.2944967686,       2.908982415,      -1.846658973,       1.913815848
          0,           0,           5,      -2.562132833,     -0.5228984685,     -0.3060735975,       2.935799883,      -1.753096781,       2.007503367
          0,           0,           6,      -2.507222934,     -0.5229249497,     -0.2114075666,       2.996953994,      -1.789895118,       1.969943546
          0,           0,           7,      -2.616741909,     -0.6384943283,     -0.2486294163,       2.889243095,      -1.654129197,       2.106434118
          0,           0,           8,      -2.995200932,     -0.7240519936,      -0.454779943,       2.507804972,      -1.808847885,       1.952013256
          0,           0,           9,      -2.941055391,     -0.7487899381,     -0.5628188994,        2.56268882,      -1.696842663,       2.064901398
          0,           0,          10,      -2.846938168,     -0.8187332755,     -0.6654415574,       2.656281001,      -1.844176655,       1.918456068
          0,           0,          11,      -2.734754607,     -0.8271907419,     -0.7021634977,        2.76797354,      -2.074987355,        1.68610444
          0,           0,          12,      -2.742777623,     -0.7138574872,     -0.6244430844,       2.754610262,      -2.401660039,       1.358216485
          0,           0,          13,       -2.99244381,     -0.6537392216,     -0.6565783775,       2.500659564,       -2.51017373,       1.250029259
          0,           0,          14,       -3.30918166,     -0.9245314515,      -1.033000203,       2.184390203,        -2.4753605,       1.286170206
          0,           0,          15,      -3.404503135,      -1.117441414,      -1.179186173,       2.087207035,      -2.454899926,       1.305897975
          0,           0,          16,      -3.162171012,      -1.239243687,      -1.485400001,       2.333116605,      -2.450591084,       1.309518151
          0,           0,          17,      -3.130524968,     -0.9222135279,       -1.21272775,       2.366596236,      -2.526645577,       1.233790844
          0,           0,          18,      -3.358052441,      -1.076587863,      -1.470717088,       2.139080311,      -2.624126525,       1.136288741
          0,           0,          19,      -3.458429457,      -1.270755508,      -1.339413403,       2.040576053,      -2.645366573,         1.1133931
          0,           0,          20,      -3.484548017,       -1.30714819,      -1.085628232,       2.013132033,      -2.745978019,       1.013833196
          0,           0,          21,      -3.675660141,      -1.407823694,      -1.203551536,       1.820822882,      -2.692551904,       1.067290761
          0,           0,          22,      -3.934449468,       -1.47090576,      -1.347040269,        1.56214417,      -2.683679941,       1.076679463
          0,           0,          23,      -3.742677944,       -1.56611921,      -1.416816973,       1.760121172,      -2.594081997,       1.167068011
          0,           0,          24,      -3.541052712,      -1.704004119,      -1.559298482,       1.961077096,      -2.659370857,        1.10229125
          0,           0,          25,       -3.42483805,      -1.459260681,      -1.417451408,       2.075658993,      -2.822276297,      0.9374299809
          0,           0,          26,      -3.526128202,      -1.267796397,      -1.348287688,       1.973156123,      -2.837291539,      0.9222763762
          0,           0,          27,      -3.853181275,      -1.449805118,      -1.606858209,       1.642075584,      -2.850932233,      0.9095260907
          0,           0,          28,      -3.981403966,      -1.553718464,      -1.500408717,       1.509523293,       -2.70597507,       1.054248483
          0,           0,          29,      -3.804121973,      -1.656812623,      -1.472879784,       1.691345944,      -2.711938511,       1.048492667
          0,           0,          30,      -3.772737022,      -1.552939461,      -1.698454052,       1.724170724,      -2.721270476,       1.039346205
          0,           0,          31,      -3.948300302,      -1.687768468,      -1.874492855,       1.546096854,      -2.717353694,       1.043305583
          0,           0,          32,      -3.898085307,      -2.005252451,      -2.000448593,       1.596333695,      -2.716607024,       1.044124802
          0,           0,          33,      -3.775356109,       -1.86359531,      -1.641496546,       1.720134478,      -2.746867925,       1.013280064
          0,           0,          34,      -3.844914671,      -1.738893314,      -1.552949666,       1.649775263,      -2.753744184,        1.00627795
          0,           0,          35,      -4.192685644,      -1.844139884,      -1.750558329,       1.296804593,      -2.803088522,      0.9569973343
          0,           0,          36,      -4.339067622,      -1.910843364,      -1.806014152,       1.151936853,      -2.827550065,       0.932359103
          0,           0,          37,      -4.224522996,      -1.967834491,      -1.791319014,       1.272423347,      -2.887709569,      0.8727909026
          0,           0,          38,      -4.165057153,      -1.911416641,      -1.926167482,       1.335394984,      -2.897955529,      0.8625874327
          0,           0,          39,      -4.310401442,      -2.005906917,      -2.024606792,       1.190659342,      -2.883223725,      0.8773586402
          0,           0,          40,       -4.24263077,      -2.234892702,      -2.194968099,       1.260595094,      -2.837354131,      0.9232905981
          0,           0,          41,      -4.060861665,      -2.261351791,      -2.234486707,       1.442342257,      -2.847563449,      0.9131806555
